id,question,answer,requires_supplemental,relevant_passages
2-2.4-q1,"Bria is asserting the insanity defense in her criminal prosecution for murder. In Bria’s state, defendants have the burden of production and persuasion to a preponderance of evidence when proving the insanity defense. Bria offers her own testimony that she is insane and incapable of forming criminal intent. Will Bria be successful with her defense? Why or why not?","Bria will not be successful with the insanity defense because she cannot meet the burden of proof, which is **preponderance of evidence**. Preponderance of evidence is a fairly low standard, but Bria must still convince the trier of fact that it is more likely than not she is insane. She cannot do this with her testimony, standing alone. Clearly, Bria has an important *self-interest* in eliminating her criminal responsibility in this case. Thus her *subjective* testimony regarding her own mental state is not compelling enough to meet the 51 percent to 49 percent standard.",False,['2-2.4']
2-2.4-q3,"Read *Sullivan v. Louisiana*, 508 U.S. 275 (1993). In *Sullivan*, the jury was given a constitutionally deficient jury instruction on beyond a reasonable doubt. Did the US Supreme Court hold that this was a prejudicial error requiring reversal of the defendant’s conviction for murder? Which part of the Constitution did the Court rely on in its holding? The case is available at this link: <http://scholar.google.com/scholar_case?case=1069192289025184531&hl=en&as_sdt=2002&as_vis=1>.",The US Supreme Court held that a constitutionally deficient jury instruction on the definition of beyond a reasonable doubt was a *prejudicial error* and required a reversal of the defendant’s conviction for murder. The Court determined that the improper jury instruction deprived the defendant of his Sixth Amendment right to a jury trial.,True,['2-2.4' '2-2.4-q3-supp-1']
2-2.3-q1,"Jenna sues Max for $25,000, based on a car accident that occurs in Indiana. Jenna loses at trial and appeals to the highest state appellate court in Indiana, where she loses again. Can Jenna appeal her case to the US Supreme Court? Why or why not?","Jenna cannot appeal to the US Supreme Court because she does not appear to have a *federal* issue. Parties can appeal from a state’s highest level appellate court directly into the US Supreme Court, but the US Supreme Court is a federal court and only has the jurisdiction to hear federal matters. Jenna cannot meet the criteria of diversity jurisdiction or diversity of citizenship because even if she and Max are citizens of different states, the amount in controversy is too low (it needs to be at least $75,000).",False,['2-2.3']
2-2.3-q2,"Read *United States v. P.H.E., Inc.*, 965 F.2d 848 (1992). In *P.H.E., Inc.*, the defendant never went to trial but was *indicted*. The defendant challenged the indictment, which was upheld by the trial court. The government claimed that the Court of Appeals for the Tenth Circuit could not hear an appeal of the trial court’s decision, because there was never a “final judgment.” Did the Circuit Court agree? Why or why not? The case is available at this link: <http://scholar.google.com/scholar_case?case=16482877108359401771&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.","The US Court of Appeals for the Tenth Circuit held that there *was jurisdiction*, in spite of the absence of a trial. The court also held that the extraordinary circumstances compelled a reversal of the district court order denying a motion to dismiss the defendants’ indictment. The court essentially ruled that the defendants had a right not to be tried.",True,['2-2.3' '2-2.3-q2-supp-1']
2-2.3-q3,"Read *Hertz Corp. v. Friend*, 130 S. Ct. 1181 (2010). How did the US Supreme Court determine citizenship of a *corporation* for the purpose of diversity jurisdiction? The case is available at this link: <http://scholar.google.com/scholar_case?case=11481058059843290042&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.","The US Supreme Court held that a corporation is a citizen of its state of incorporation *and* the state in which its *principal place of business* is located. The principal place of business is the “nerve center state,” which is the state that houses the corporate headquarters.",True,['2-2.3' '2-2.3-q3-supp-1']
1-1.2-q1,"Paul, a law enforcement officer, arrests Barney for creating a disturbance at a subway station. While Barney is handcuffed facedown on the ground, Paul shoots and kills him. Paul claims that he accidentally grabbed his gun instead of his Taser. Is this an issue of criminal law or criminal procedure?","This is an issue of *criminal law*. Although Paul is a law enforcement officer, when he shoots Barney while he is facedown in handcuffs, he may be committing a crime. The question in this case is not whether the arrest was executed properly, but whether a *crime was committed* after the arrest.",False,['1-1.2']
3-3.6-q1,"Andrew is sentenced to death for torture. In Andrew’s state, there is an “eye-for-an-eye” statute that mandates punishment that mimics the crime the defendant committed. Pursuant to this statute, Andrew will be tortured to death. Is the state’s eye-for-an-eye statute constitutional under the Eighth Amendment? Why or why not?",The eye-for-an-eye statute is unconstitutional because it mandates an inhumane punishment under the Eighth Amendment. Torture is too severe a punishment for *any* crime.,False,['3-3.6']
3-3.6-q2,"Read *Lockyer v. Andrade*, 538 U.S. 63 (2003). What was the defendant’s sentence in *Lockyer*? What was the defendant’s crime? Did the US Supreme Court hold that the defendant’s sentence was constitutional under the Eighth Amendment? The case is available at this link: <http://scholar.google.com/scholar_case?case=1810564739536423477&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.","The defendant’s sentence was two consecutive terms of twenty-five years to life in prison under California’s three-strikes statute. The defendant’s crime(s) were stealing five videotapes from Kmart worth $84.70 on one occasion and stealing four videotapes from Kmart worth $68.84 on another, with two previous strikes. The US Supreme Court *upheld* the sentence and denied the defendant’s petition for habeas corpus.",True,['3-3.6' '3-3.6-q2-supp-1']
3-3.6-q3,"Read *Fierro v. Gomez*, 77 F.3d 301 (1996). Did the US Court of Appeals for the Ninth Circuit hold that the gas chamber procedure in California was constitutional under the Eighth Amendment? The case is available at this link: <http://scholar.google.com/scholar_case?case=26906922262871934&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.",The US Court of Appeals for the Ninth Circuit held that the gas chamber under California’s protocol was *cruel and unusual punishment* in violation of the Eighth Amendment.,True,['3-3.6' '3-3.6-q3-supp-1']
3-3.6-q4,"Read *Gall v. U.S*., 128 S. Ct. 586 (2007). In *Gall*, the federal judge departed from the US Sentencing Guidelines and imposed a sentence of probation because the defendant had reformed and rejected his criminal lifestyle. Did the US Supreme Court uphold this sentence? Why or why not? The case is available at this link: [http://scholar.google.com/scholar\_case?case=5158806596650877502&q= Gall+v.+U.S.&hl=en&as\_sdt=2,5&as\_vis=1](http://scholar.google.com/scholar_case?case=5158806596650877502&q=Gall+v.+U.S.&hl=en&as_sdt=2,5&as_vis=1).","The US Supreme Court reversed the US Court of Appeals for the Eighth Circuit, which held that the sentence was unreasonable according to the US Sentencing Guidelines. The Court reaffirmed that the Guidelines were advisory, but stated that the trial court has *great discretion* in setting the sentence, as long as the basis of the sentence is explained on the record.",True,['3-3.6' '3-3.6-q4-supp-1']
